name,category,latitude,longitude,wiki_title,monthly_views
Glessner House Museum,Museums & Galleries,41.8577219,-87.6212227,John J. Glessner House,679.6153846153846
Institute for the Study of Ancient Cultures Museum,Museums & Galleries,41.7892146,-87.5974892,Institute for the Study of Ancient Cultures,1237.6923076923076
Jackson Park,Parks & Outdoors,41.7833587,-87.5764609,Jackson Park (Chicago),3760.769230769231
Northerly Island,Parks & Outdoors,41.8601992,-87.6091975,Northerly Island,1832.1538461538462
Humboldt (Alexander Von) Park,Parks & Outdoors,41.9042451,-87.7019325,Humboldt Park (Chicago park),484.6923076923077
Field (Eugene) Park,Parks & Outdoors,41.9747639,-87.7232853,Eugene Field Park,77.15384615384616
Sauganash Trail,Parks & Outdoors,41.9899796,-87.7378542,Skokie Valley Trail,165.3846153846154
Indian Boundary Park,Parks & Outdoors,42.0094793,-87.6932432,Indian Boundary Park,176.46153846153845
Lincoln Park Zoo,Zoos & Family,41.9203762,-87.6335049,Lincoln Park Zoo,2172.846153846154
Wilder Park Conservatory,Museums & Galleries,41.8949188,-87.9436548,,
Agora,Iconic Attractions,41.8682801,-87.6235711,Agora (sculpture),800.3076923076923
Lincoln (Abraham) Park,Parks & Outdoors,41.9410389,-87.6330124,Lincoln Park,2206.4615384615386
Bloomingdale Trail Park,Parks & Outdoors,41.9139596,-87.6940571,Bloomingdale Trail Park,56.53846153846154
Burnham Park,Parks & Outdoors,41.8299023,-87.5970227,Burnham Park (Chicago),374.84615384615387
Shedd Aquarium,Zoos & Family,41.8676159,-87.6136792,Shedd Aquarium,3330.5384615384614
River Esplanade,Parks & Outdoors,41.8890719,-87.6189671,River Esplanade Park,29.53846153846154
Gold Star Families Park (Gold Star Families Memorial and Park),Parks & Outdoors,41.8627035,-87.6141141,Gold Star Families Memorial and Park,44.23076923076923
Brookfield Zoo Chicago (Chicago Zoological Park),Zoos & Family,41.8340002,-87.8367188,Brookfield Zoo,511.7692307692308
Grant Park,Parks & Outdoors,41.8765883,-87.6183046,Grant Park (Chicago),3744.0
Harold Washington Park,Parks & Outdoors,41.8026153,-87.5833185,Harold Washington Park,71.6923076923077
Midway Plaisance,Parks & Outdoors,41.7866976,-87.5963239,Midway Plaisance,1823.3076923076924
Garfield Park,Parks & Outdoors,41.8813141,-87.7160067,Garfield Park (Chicago),952.2307692307693
Union Park,Parks & Outdoors,41.8838595,-87.665184,Union Park (Chicago),244.6153846153846
Douglass (Anna and Frederick) Park (Douglass Park),Parks & Outdoors,41.8609632,-87.6993812,Douglass Park,700.1538461538462
Washington (George) Park,Parks & Outdoors,41.7939811,-87.6111047,Washington Park (Chicago park),653.6923076923077
Vanderpoel Art Museum,Museums & Galleries,41.7187453,-87.6678158,,
Norwood Park Historical Society,Museums & Galleries,41.9835968,-87.7959941,,
Museum of Hummels,Museums & Galleries,41.9921847,-87.8639965,,
Night Club,Museums & Galleries,41.941733,-87.7271053,,
Ogilvie Pertl Gallery,Museums & Galleries,41.8909373,-87.6164093,,
Busy Beaver Button Museum,Museums & Galleries,41.9171899,-87.7122707,,
Dreihaus Gallery of Stained Glass,Museums & Galleries,41.8914645,-87.6013562,Smith Museum of Stained Glass Windows,142.6153846153846
345 Gallery,Museums & Galleries,41.8877965,-87.706096,,
Riverside Historical Museum,Museums & Galleries,41.8278837,-87.82001,,
Prospectus Art Gallery,Museums & Galleries,41.8580724,-87.6569435,,
Expo 72,Museums & Galleries,41.8846303,-87.6253558,,
Gallery Guichard,Museums & Galleries,41.8095479,-87.6148147,,
Western Exhibitions,Museums & Galleries,41.8958968,-87.670213,,
Rhona Hoffman Gallery,Museums & Galleries,41.8958971,-87.6702858,,
All Star Press,Museums & Galleries,41.9316462,-87.7113805,,
Young Chicago Authors,Museums & Galleries,41.9030806,-87.66633,,
In the Game - Hollywood Park,Zoos & Family,41.655827,-87.7472173,,
Marianne Ibrahim Gallery,Museums & Galleries,41.8900345,-87.669421,,
Exploratorium,Museums & Galleries,42.0259599,-87.7436311,,
Corbett vs. Dempsey,Museums & Galleries,41.8868372,-87.6815231,,
La Grange Art League Gallery,Museums & Galleries,41.8143737,-87.8719539,La Grange Village Hall,26.615384615384617
Museum of Illusions,Museums & Galleries,41.8830605,-87.626843,,
South Asia Institute,Museums & Galleries,41.8558929,-87.623635,,
The Compassion Factory,Museums & Galleries,41.8272625,-87.8522526,,
Chicago Art Department,Museums & Galleries,41.8559404,-87.6467837,,
